YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2021,1,DET,Cade Cunningham,Oklahoma State,Stillwater,OK,Big 12 Conference
2021,2,HOU,Jalen Green,Did not Attend College in U.S.,N/A,N/A,N/A
2021,3,CLE,Evan Mobley,USC,Los Angeles,CA,Pacific-12 Conference
2021,4,TOR,Scottie Barnes,Florida State,Tallahassee,FL,Atlantic Coast Conference
2021,5,ORL,Jalen Suggs,Gonzaga,Spokane,WA,West Coast Conference
2021,6,OKC,Josh Giddey,Did not Attend College in U.S.,N/A,N/A,N/A
2021,7,GSW,Jonathan Kuminga,Did not Attend College in U.S.,N/A,N/A,N/A
2021,8,ORL,Franz Wagner,Michigan,Ann Arbor,MI,Big Ten Conference
2021,9,SAC,Davion Mitchell,Baylor,Waco,TX,Big 12 Conference
2021,10,NOP,Ziaire Williams,Stanford,Stanford,CA,Pacific-12 Conference
2021,11,CHO,James Bouknight,UCONN,Mansfield,CT,Big East Conference
2021,12,SAS,Joshua Primo,Alabama,Tuscaloosa,AL,Southeastern Conference
2021,13,IND,Chris Duarte,Oregon,Eugene,OR,Pacific-12 Conference
2021,14,GSW,Moses Moody,Arkansas,Fayetteville,AR,Southeastern Conference
2021,15,WAS,Corey Kispert,Gonzaga,Spokane,WA,West Coast Conference
